sl_no,hsc_p,degree_p,etest_p,mba_p,salary,gender_F,gender_M,hsc_s_Arts,hsc_s_Commerce,hsc_s_Science,degree_t_Comm&Mgmt,degree_t_Others,degree_t_Sci&Tech,specialisation_Mkt&Fin,specialisation_Mkt&HR
72,70.29,71.0,95.0,66.94,240000.0,0,1,0,1,0,1,0,0,1,0
73,67.0,78.0,95.5,68.53,240000.0,0,1,0,0,1,1,0,0,1,0
74,83.83,71.72,86.0,59.75,218000.0,0,1,0,1,0,1,0,0,1,0
75,64.8,70.2,84.27,67.2,336000.0,0,1,0,1,0,1,0,0,1,0
76,62.0,77.5,74.0,67.0,,1,0,0,1,0,1,0,0,0,1
77,70.4,71.93,61.0,64.27,230000.0,1,0,1,0,0,1,0,0,1,0
78,80.0,65.0,69.0,57.65,500000.0,0,1,0,0,1,0,0,1,1,0
79,90.9,64.5,86.04,59.42,270000.0,0,1,0,0,1,0,0,1,1,0
80,62.0,66.0,75.0,67.99,,1,0,0,0,1,0,0,1,0,1
81,62.0,69.0,67.0,62.35,240000.0,1,0,0,1,0,1,0,0,0,1
82,63.0,67.0,86.0,70.2,300000.0,0,1,0,0,1,1,0,0,1,0
83,67.0,74.0,82.0,60.44,,0,1,0,1,0,1,0,0,1,0
84,79.0,68.0,84.0,66.69,300000.0,0,1,0,0,1,0,0,1,1,0
85,63.0,70.0,55.0,62.0,300000.0,0,1,0,0,1,0,0,1,1,0
86,89.83,77.2,78.74,76.18,400000.0,1,0,0,1,0,1,0,0,1,0
87,63.0,64.0,67.0,57.03,220000.0,0,1,0,1,0,1,0,0,1,0
88,51.0,60.0,75.0,59.08,,0,1,0,0,1,0,1,0,0,1
89,62.0,73.0,58.0,64.36,210000.0,1,0,0,1,0,1,0,0,0,1
90,75.0,69.0,62.0,62.36,210000.0,1,0,0,0,1,0,0,1,0,1
91,90.0,82.0,92.0,68.03,300000.0,1,0,0,1,0,1,0,0,1,0
92,57.0,50.8,67.0,62.79,,0,1,0,1,0,1,0,0,0,1
93,69.0,66.0,72.0,59.47,230000.0,1,0,0,0,1,1,0,0,1,0
94,62.0,54.0,72.0,55.41,,0,1,0,1,0,1,0,0,0,1
95,62.0,64.0,53.88,54.97,260000.0,0,1,0,1,0,1,0,0,1,0
96,78.0,65.0,95.46,62.16,420000.0,0,1,0,1,0,1,0,0,1,0
97,70.0,76.0,66.0,64.44,300000.0,1,0,0,0,1,1,0,0,1,0
98,62.5,61.0,93.91,69.03,,1,0,0,1,0,1,0,0,1,0
99,73.0,65.0,70.0,57.31,220000.0,1,0,0,1,0,1,0,0,1,0
100,82.0,63.0,50.0,59.47,,0,1,0,1,0,0,0,1,1,0
101,57.0,58.0,56.39,64.95,,1,0,0,1,0,1,0,0,0,1
102,72.0,68.0,78.0,60.44,380000.0,0,1,0,1,0,1,0,0,0,1
103,61.0,68.0,57.5,61.31,300000.0,1,0,0,1,0,1,0,0,1,0
104,78.0,73.0,85.0,65.83,240000.0,0,1,0,0,1,0,0,1,0,1
105,63.0,65.0,55.0,58.23,360000.0,0,1,0,0,1,1,0,0,0,1
106,64.0,58.0,85.0,55.3,,0,1,0,0,1,0,0,1,0,1
107,50.0,54.0,71.0,65.69,,0,1,0,0,1,0,0,1,1,0
108,90.0,83.0,80.0,73.52,200000.0,0,1,0,1,0,1,0,0,0,1
109,82.0,69.0,84.0,58.31,300000.0,0,1,0,1,0,1,0,0,1,0
110,63.0,65.0,86.0,56.09,,0,1,0,0,1,0,0,1,0,1
111,70.0,72.0,57.2,54.8,250000.0,1,0,0,0,1,0,0,1,0,1
112,,61.0,60.0,60.64,,0,1,0,0,1,0,0,1,0,1
113,61.0,61.0,58.0,53.94,250000.0,0,1,0,1,0,1,0,0,0,1
114,79.0,67.0,72.15,63.08,280000.0,1,0,0,1,0,1,0,0,1,0
115,68.0,69.0,53.7,55.01,250000.0,0,1,0,0,1,1,0,0,0,1
116,63.0,66.0,89.0,60.5,216000.0,1,0,0,0,1,1,0,0,1,0
117,72.8,66.6,96.0,70.85,300000.0,0,1,0,1,0,1,0,0,1,0
118,75.0,73.0,80.0,67.05,240000.0,0,1,0,0,1,0,0,1,1,0
119,80.0,78.0,97.0,70.48,276000.0,0,1,0,0,1,0,0,1,0,1
120,68.4,64.6,,64.34,940000.0,0,1,0,1,0,1,0,0,1,0
121,40.0,59.0,73.0,58.81,,0,1,0,0,1,1,0,0,0,1
122,67.0,69.6,55.67,71.49,250000.0,1,0,0,0,1,0,0,1,0,1
123,66.8,69.3,80.4,71.0,236000.0,1,0,1,0,0,1,0,0,1,0
124,59.0,73.0,60.0,56.7,240000.0,0,1,0,1,0,1,0,0,0,1
125,71.0,64.33,64.0,61.26,250000.0,0,1,0,0,1,0,1,0,0,1
126,73.0,73.0,75.0,73.33,350000.0,1,0,0,1,0,1,0,0,1,0
127,61.0,75.5,70.0,68.2,210000.0,1,0,0,0,1,0,0,1,1,0
128,60.0,69.0,55.5,58.4,250000.0,1,0,0,0,1,1,0,0,0,1
129,73.4,77.72,81.2,76.26,400000.0,0,1,0,0,1,0,0,1,0,1
130,89.7,66.0,90.0,68.55,250000.0,0,1,0,1,0,1,0,0,1,0
131,65.0,60.0,84.0,64.15,,0,1,0,1,0,1,0,0,1,0
132,57.0,62.0,80.0,60.78,360000.0,1,0,0,0,1,0,1,0,1,0
133,68.0,64.0,74.4,53.49,300000.0,0,1,0,1,0,1,0,0,0,1
134,64.0,77.0,65.0,60.98,250000.0,0,1,0,1,0,1,0,0,0,1
135,92.0,72.0,94.0,67.13,250000.0,1,0,0,1,0,1,0,0,1,0
136,56.0,69.0,55.6,65.63,200000.0,1,0,0,0,1,1,0,0,0,1
137,59.0,64.0,78.0,61.58,,1,0,1,0,0,1,0,0,1,0
138,63.0,72.0,56.0,60.41,225000.0,0,1,0,1,0,1,0,0,0,1
139,64.0,73.0,96.0,71.77,250000.0,1,0,0,0,1,0,0,1,1,0
140,70.0,59.0,58.0,54.43,220000.0,0,1,0,1,0,1,0,0,1,0
141,64.8,69.5,56.0,56.94,265000.0,0,1,0,1,0,1,0,0,1,0
142,64.0,60.0,60.0,61.9,,0,1,0,0,1,1,0,0,0,1
143,60.0,73.43,60.0,61.29,260000.0,0,1,0,0,1,0,0,1,1,0
144,64.89,70.67,89.0,60.39,300000.0,0,1,0,1,0,1,0,0,1,0
145,50.0,61.0,60.0,58.52,,0,1,1,0,0,1,0,0,1,0
146,65.66,71.25,72.0,63.23,400000.0,0,1,0,0,1,0,0,1,0,1
147,63.0,66.0,85.0,55.14,233000.0,0,1,0,0,1,1,0,0,0,1
148,74.0,65.0,83.0,62.28,300000.0,0,1,0,1,0,1,0,0,1,0
149,86.0,56.0,57.0,64.08,240000.0,1,0,1,0,0,0,1,0,1,0
150,58.0,55.0,64.25,58.54,,0,1,1,0,0,1,0,0,0,1
151,58.66,58.0,56.0,61.3,690000.0,0,1,0,0,1,0,0,1,1,0
152,65.0,75.0,83.0,58.87,270000.0,0,1,0,1,0,1,0,0,1,0
153,60.5,84.0,98.0,65.25,240000.0,1,0,0,0,1,0,0,1,1,0
154,59.0,65.0,86.0,62.48,340000.0,0,1,0,0,1,0,0,1,1,0
155,63.0,60.0,70.0,53.2,250000.0,0,1,0,0,1,1,0,0,1,0
156,74.66,59.9,56.15,65.99,,0,1,0,1,0,1,0,0,0,1
157,69.4,65.0,80.0,52.72,255000.0,0,1,0,0,1,0,0,1,0,1
158,62.5,60.9,93.4,55.03,300000.0,0,1,0,1,0,1,0,0,1,0
159,63.0,64.0,60.0,61.87,,0,1,0,0,1,0,0,1,1,0
160,49.0,58.0,62.0,60.59,,0,1,0,1,0,1,0,0,0,1
161,74.0,65.0,75.0,72.29,300000.0,0,1,0,0,1,0,0,1,0,1
162,51.0,57.5,57.63,62.72,,0,1,0,1,0,1,0,0,0,1
163,87.6,77.25,75.2,66.06,285000.0,0,1,0,1,0,1,0,0,1,0
164,67.0,64.0,75.0,66.46,500000.0,0,1,0,0,1,0,0,1,1,0
165,72.5,63.35,53.04,65.52,250000.0,1,0,0,1,0,1,0,0,1,0
166,78.33,74.0,80.0,74.56,,1,0,0,1,0,1,0,0,1,0
167,62.0,60.0,63.0,52.38,240000.0,0,1,0,1,0,1,0,0,0,1
168,62.0,67.0,58.1,75.71,,0,1,0,0,1,0,0,1,1,0
169,51.0,58.0,60.0,58.79,,1,0,0,1,0,1,0,0,0,1
170,42.16,61.26,54.48,65.48,,0,1,0,0,1,0,0,1,0,1
171,67.2,60.0,58.06,69.28,,1,0,0,1,0,1,0,0,0,1
172,80.0,72.0,63.79,66.04,290000.0,0,1,0,1,0,1,0,0,1,0
173,58.0,56.0,84.0,52.64,300000.0,0,1,0,1,0,1,0,0,0,1
174,52.0,55.0,67.0,59.32,,1,0,0,0,1,0,0,1,0,1
175,50.83,64.27,64.0,66.23,500000.0,0,1,0,0,1,0,0,1,1,0
176,62.0,65.0,87.5,60.69,,0,1,0,0,1,0,0,1,0,1
177,60.0,56.0,55.0,57.9,220000.0,1,0,0,1,0,1,0,0,0,1
178,97.0,79.0,89.0,70.81,650000.0,1,0,0,1,0,1,0,0,1,0
179,56.0,68.0,73.0,68.07,350000.0,0,1,0,0,1,0,0,1,0,1
180,64.0,64.2,75.5,72.14,,1,0,0,0,1,0,0,1,0,1
181,71.5,62.8,57.0,56.6,265000.0,0,1,0,1,0,1,0,0,1,0
182,60.33,64.21,63.0,60.02,,0,1,0,0,1,0,0,1,0,1
183,65.0,57.0,75.0,59.81,,0,1,1,0,0,0,1,0,1,0
184,77.0,69.0,60.0,61.82,276000.0,0,1,0,1,0,1,0,0,0,1
185,62.83,59.79,60.0,57.29,,1,0,0,1,0,1,0,0,0,1
186,72.0,78.0,82.0,71.43,252000.0,1,0,0,0,1,0,1,0,0,1
187,64.0,61.0,55.0,62.93,,1,0,0,1,0,1,0,0,1,0
188,65.5,67.0,95.0,64.86,280000.0,0,1,0,0,1,0,0,1,1,0
189,47.0,54.38,57.0,56.13,,0,1,0,1,0,1,0,0,1,0
190,77.6,69.2,95.65,66.94,,1,0,0,1,0,1,0,0,1,0
191,70.2,61.0,50.0,62.5,,1,0,0,1,0,1,0,0,1,0
192,61.0,72.0,72.0,61.01,264000.0,0,1,0,0,1,1,0,0,1,0
193,61.4,64.8,93.4,57.34,270000.0,0,1,0,1,0,1,0,0,1,0
194,63.0,56.0,80.0,56.63,300000.0,1,0,1,0,0,0,1,0,0,1
195,55.0,56.3,59.0,64.74,,0,1,0,1,0,1,0,0,1,0
196,76.0,72.0,84.0,58.95,275000.0,0,1,0,1,0,1,0,0,0,1
197,63.0,77.5,78.0,54.48,250000.0,0,1,0,0,1,0,0,1,1,0
198,53.0,91.0,59.32,69.71,260000.0,1,0,0,0,1,0,0,1,0,1
199,70.0,65.0,88.0,71.96,,1,0,0,1,0,0,1,0,0,1
200,65.0,57.0,73.0,55.8,265000.0,0,1,0,1,0,1,0,0,0,1
201,60.0,65.0,87.55,52.81,300000.0,0,1,0,1,0,1,0,0,1,0
202,63.0,58.0,79.0,58.44,,0,1,0,0,1,1,0,0,0,1
203,63.0,66.0,61.28,60.11,240000.0,0,1,0,0,1,0,0,1,0,1
204,61.33,56.87,66.0,58.3,260000.0,0,1,0,1,0,1,0,0,0,1
205,73.0,73.0,80.0,67.69,210000.0,1,0,0,1,0,1,0,0,1,0
206,62.0,65.0,62.0,56.81,250000.0,0,1,0,1,0,1,0,0,1,0
207,42.0,60.0,97.0,53.39,,0,1,0,0,1,1,0,0,1,0
208,78.0,61.0,88.56,71.55,300000.0,0,1,0,1,0,1,0,0,1,0
209,60.0,65.0,92.66,62.92,,1,0,0,0,1,1,0,0,0,1
210,72.0,65.0,67.0,56.49,216000.0,0,1,0,1,0,1,0,0,1,0
211,82.0,77.6,91.0,74.49,400000.0,0,1,0,1,0,1,0,0,1,0
212,60.0,72.0,74.0,53.62,275000.0,0,1,0,0,1,0,0,1,1,0
213,67.0,73.0,59.0,69.72,295000.0,0,1,0,1,0,1,0,0,1,0
214,66.0,58.0,70.0,60.23,204000.0,1,0,0,1,0,1,0,0,0,1
215,58.0,53.0,89.0,60.22,,0,1,0,0,1,1,0,0,0,1
